Name,URL,Primary Language,Created At,Repository Age,Amount of stars,Total amount of release(s),Total Source LOC,Total Line LOC,Total Blank LOC,Total Comments LOC,CBO,DIT,LCOM,LOC
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,Java,13/02/18 14:56:24,3,137954,0,80213,92810,9414,4122,nan,nan,nan,nan
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,Java,07/05/18 13:27:00,3,110305,0,80958,93996,9567,4414,nan,nan,nan,nan
