file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-document\src\test\java\com\iluwatar\abstractdocument\DomainTest.java,com.iluwatar.abstractdocument.DomainTest,class,7,2,1,10,1,0.0,0.0,2,0,0,0,0,2,2,0,0,0,5,5,0,5,0,0,5,0,0,21,0,0,0,0,0,3,3,9,0,9,0,0,0,0,30,0,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\App.java,com.iluwatar.abstractfactory.App,class,6,4,1,14,0,0.0,0.0,4,1,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,1,28,1,0,0,0,0,2,0,3,0,3,0,0,0,0,93,1,8
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\Army.java,com.iluwatar.abstractfactory.Army,interface,0,1,1,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\Castle.java,com.iluwatar.abstractfactory.Castle,interface,0,1,1,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\ElfArmy.java,com.iluwatar.abstractfactory.ElfArmy,class,1,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,6,1,0,0,0,0,1,0,1,0,1,0,0,0,0,18,1,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\ElfCastle.java,com.iluwatar.abstractfactory.ElfCastle,class,1,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,6,1,0,0,0,0,1,0,1,0,1,0,0,0,0,18,1,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\ElfKing.java,com.iluwatar.abstractfactory.ElfKing,class,1,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,6,1,0,0,0,0,1,0,1,0,1,0,0,0,0,18,1,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\ElfKingdomFactory.java,com.iluwatar.abstractfactory.ElfKingdomFactory,class,7,3,1,0,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\King.java,com.iluwatar.abstractfactory.King,interface,0,1,1,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\Kingdom.java,com.iluwatar.abstractfactory.Kingdom,class,5,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,1,0,7,1,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\Kingdom.java,com.iluwatar.abstractfactory.Kingdom$FactoryMaker,innerclass,4,3,1,0,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,1,0,0,0,0,1,0,1,0,28,9,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\Kingdom.java,com.iluwatar.abstractfactory.Kingdom$FactoryMaker$KingdomType,enum,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\abstract-factory\src\main\java\com\iluwatar\abstractfactory\KingdomFactory.java,com.iluwatar.abstractfactory.KingdomFactory,interface,3,3,1,0,3,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
